excess	calcification	disfunction	cavity	conclusion	physician	diagnosis	neoplasm	fever	lump	undernutrition	weakness	imperfection	suppuration	cardiomyopathy
animal	division	phase	echinoderm	stage	illness	speciality	malignancy	pain	therapy	popovici	ischemic colitis	neuromeric	aldesleukin	modugno
plant material	stimulant	glucocorticoid hormone	beta-adrenergic blocker	essential oil	cortisol	non-steroidal anti-inflammatory drug	antiarrhythmic agent	street drug	substance of abuse	mesalazine	biological agent	tranquilizer	alloy	psychedelic drug
cardiomyopathy	panencephalitis	malaise	impairment	encephalomyelitis	speech	pathogen	dilatation	complication	dyspnoea	leukoencephalopathy	cardiopathy	uneasiness	inactivity	painfulness
body structure	n	blood	r	beat	swelling	i	v	bleeding	heartbeat	pathology	c	body fluid	b	clinical finding
plant material	stimulant	glucocorticoid hormone	beta-adrenergic blocker	essential oil	cortisol	non-steroidal anti-inflammatory drug	antiarrhythmic agent	street drug	substance of abuse	mesalazine	biological agent	tranquilizer	alloy	psychedelic drug
degenerative disorder	inflammatory disorder	congenital disease	lymphoproliferative disorder	t-cell lymphoma	brain disease	b	congenital disorder	hypoventilation	pathogenic organism	inflammatory disease	respiratory failure	o	dermatitis	disease of lung
salt	rock	drug	crystal	silicate	atom	uracil	alkaloid	halide	amphibole	medicine	analyte	pyrimidine	ester	anion
degenerative disorder	inflammatory disorder	congenital disease	lymphoproliferative disorder	t-cell lymphoma	brain disease	b	congenital disorder	hypoventilation	pathogenic organism	inflammatory disease	respiratory failure	o	dermatitis	disease of lung
ester	atom	anti-inflammatory	sulfate	amide	sedative	carbohydrate	ethanolamine	supplementation	painkiller	toxin	phytochemical	rifamycin	depressant	psychostimulant
unease	irritation	swelling	palsy	delay	uneasiness	suspension	encephalomyelitis	pathology	hyperthermia	malady	disorder	physician	virus	infection
attraction	aliphatic	oil	arylamine	polyamine	radical	bond	atom	halogen	terpene	hydrocarbon	fuel	medicine	alkane	sickness
analgesic	rock	toxicant	alloy	neuroleptic	fuel	purgative	hormone	tranquilizer	hydrolase	lipid	antidiabetic	ester	chemotherapeutic	steroidogenesis
degenerative disorder	inflammatory disorder	congenital disease	lymphoproliferative disorder	t-cell lymphoma	brain disease	b	congenital disorder	hypoventilation	pathogenic organism	inflammatory disease	respiratory failure	o	dermatitis	disease of lung
t	u	 	n	o	r	c	b	tray	imprint	i	f	d	w	v
t	u	 	n	o	r	c	b	i	f	d	w	awareness	v	a
cardiopathy	toxaemia	impairment	repeating	termination	uneasiness	passivity	dyspnea	mania	blackout	hyperthermia	disease	palsy	speech	dyscrasia
heartbeat	fraction	beat	blood	sickness	pulsation	speciality	pulse	neoplasm	centrepiece	electrodermal response	state	sprunger	far-field	corrosion
hormone	antibacterial	elastomer	endocrine	peroxidase	drug	protein	accelerator	medicine	bond	activator	transporter	tetrapeptide	phosphotransferase	transferase
t	u	 	n	o	r	c	physical property	concentration	b	i	f	d	w	temperature
tincture	analyte	colour	protein	dye	medicine	cyanocobalamin	kth	agazzi	brigitte	kingsland	quail	ofek	soybean	required
protocol	psychodynamic psychotherapy	analysis	urinalysis	medical care	implantation	trephination	ligature	picture	conclusion	b	functional skills training	lumbar puncture	surgical procedure	medical imaging
protocol	psychodynamic psychotherapy	analysis	urinalysis	medical care	implantation	trephination	ligature	picture	conclusion	b	functional skills training	lumbar puncture	surgical procedure	medical imaging
